music		Data/music/st5.bor
spawn	Maiden_Specter
coords	-60 220
at	1600

spawn	phantom
coords	-60 220
at	1600

spawn	embryo
coords	350 220
at	1600

spawn	phantom
coords	-60 220
at	1600

spawn	Maiden_Specter
coords	350 220
at	1600

spawn	embryo
coords	350 220
at	1600

spawn	phantom
coords	350 220
at	1600

spawn	Maiden_Specter
coords	-60 220
at	1600

spawn	phantom
coords	-60 220
at	1600

spawn	embryo
coords	350 220
at	1600

spawn	phantom
coords	-60 220
at	1600

spawn	Maiden_Specter
coords	350 220
at	1600

spawn	embryo
coords	350 220
at	1600

spawn	phantom
coords	350 220
at	1600

spawn	Maiden_Specter
coords	-60 220
at	1600

spawn	phantom
coords	-60 220
at	1600
spawn	embryo
coords	350 220
at	1600

spawn	phantom
coords	-60 220
at	1600

spawn	Maiden_Specter
coords	350 220
at	1600

spawn	embryo
coords	350 220
at	1600

spawn	phantom
coords	350 220
at	1600

spawn	Maiden_Specter
coords	-60 220
at	1600

spawn	phantom
coords	-60 220
at	1600


########################################################################################

wait
at 1800

group 3 3

spawn	embryo
coords	350 220
at	1800

spawn	phantom
coords	-60 220
at	1800

spawn	Maiden_Specter
coords	350 220
at	1800

spawn	embryo
coords	350 220
at	1800

spawn	phantom
coords	350 220
at	1800

spawn	Maiden_Specter
coords	-60 220
at	1800

spawn	phantom
coords	-60 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	-60 220
at	1800

spawn	Maiden_Specter
coords	350 220
at	1800

spawn	embryo
coords	350 220
at	1800

spawn	phantom
coords	350 220
at	1800

spawn	Maiden_Specter
coords	-60 220
at	1600

spawn	phantom
coords	-60 220
at	1800

spawn	embryo
coords	350 220
at	1800

spawn	phantom
coords	-60 220
at	1800

spawn	Maiden_Specter
coords	350 220
at	1800

spawn	embryo
coords	350 220
at	1800

spawn	phantom
coords	350 220
at	1800

spawn	Maiden_Specter
coords	-60 220
at	1800

spawn	phantom
coords	-60 220
at	1600
spawn	embryo
coords	350 -160
at	1800

spawn	phantom
coords	-60 220
at	1800						

spawn	Maiden_Specter
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	1800

spawn	phantom
coords	350 220
at	1800

spawn	Maiden_Specter
coords	-60 220
at	1800

spawn	phantom
coords	-60 220
at	1800

###############################################################


wait
at 2000

group  7 7

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

spawn	embryo
coords	350 220
at	2000

spawn	phantom
coords	350 220
at	2000


spawn	embryo
coords	-350 220
at	1800

spawn	phantom
coords	-350 220
at	1800

spawn	embryo
coords	350 -120
at	1800

spawn	phantom
coords	350 -120
at	1800

##############################################################################

wait at 
2400

group 10 10

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000


spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	embryo
coords	350 210
at	2000

spawn	phantom
coords	350 -120
at	2000

spawn	embryo
coords	350 -120
at	2000

spawn	Maiden_Specter
coords	-60 220
at	2000

spawn	Maiden_Specter
coords	350 210
at	2000

spawn	Great_Horror
boss1
coords	350 220
at	2000






