music		Data/music/st3.bor
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230

spawn	Corpse_Eater
coords	-50 170
at	1230


spawn	Corpse_Eater
coords	350 190
at	1230


spawn	Corpse_Eater
coords	-50 210
at	1230


spawn	Corpse_Eater
coords	350 230
at	1230


spawn	Corpse_Eater
coords	-50 170
at	1230


spawn	Corpse_Eater
coords	350 190
at	1230


spawn	Corpse_Eater
coords	-50 210
at	1230


spawn	Corpse_Eater
coords	350 230
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	-30 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230

######################################################################
wait
at      1300


group   3 3
at      1300


spawn	zombi4
map      1
coords	-60 190 
at	1300



spawn	Ghoul
coords	-20 230
at	1300


spawn	Ghoul
coords	-30 190
at	1300


spawn	walker
2pspawn   1
coords	400 190
at	1300



spawn	walker
2pspawn   1
coords	370 210
at	1300

spawn	Screaming_Mimi
coords	350 210
at	850


spawn	Screaming_Mimi
coords	350 230
at	850


spawn	zombi4
2pspawn   1
coords	-30 240
at	850

spawn	zombi4
2pspawn   1
coords	-30 170
at	850

spawn	walker
coords	350 190
at	850

spawn	walker
coords	350 190
at	850

spawn	walker
coords	350 190
at	850

spawn	Slime_Monster
coords	350 190
at	850

spawn	Slime_Monster
coords	350 190
at	850

spawn	Slime_Monster
coords	350 190
at	850

spawn	Slime_Monster
coords	350 190
at	850

spawn	ghoul
coords	350 190
at	850

######################################################################


wait
at      1450


group 5 5
at 1460



spawn	Screaming_Mimi
coords	350 230
at	1450


spawn	Screaming_Mimi
coords	-30 190
at	1450



spawn	zombi4
2pspawn   1
coords	390 210
at	1450



spawn	zombi4
2pspawn   1
coords	410 210
at	1450


spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230

spawn	zombi4
2pspawn   1
coords	410 210
at	1450


spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230




#################################################################


wait
at      1600


group   4 4
at      1600

spawn   walker
coords  -20 190
at      1600



spawn   Screaming_Mimi
2pspawn   1
coords  360 210
at      1600


spawn   Screaming_Mimi
2pspawn   1
coords  340 230
at      1600

spawn   walker
coords  -20 190
at      1600



spawn   Screaming_Mimi
2pspawn   1
coords  360 210
at      1600


spawn   Screaming_Mimi
2pspawn   1
coords  340 230
at      1600

spawn   walker
coords  -20 190
at      1600



spawn   Screaming_Mimi
2pspawn   1
coords  360 210
at      1600


spawn   Screaming_Mimi
2pspawn   1
coords  340 230
at      1600

spawn   walker
coords  -20 190
at      1600



spawn   Screaming_Mimi
2pspawn   1
coords  360 210
at      1600


spawn   Screaming_Mimi
2pspawn   1
coords  340 230
at      1600

spawn   walker
coords  -20 190
at      1600



spawn   Screaming_Mimi
2pspawn   1
coords  360 210
at      1600


spawn   Screaming_Mimi
2pspawn   1
coords  340 230
at      1600

##########################################################################


wait
at      1800


group   4 4
at      1800


spawn   Slime_Monster
map     1
coords  -20 190
at      1800


spawn   walker
map     1
coords  -40 210
at      1800


spawn   zombi4
map     2
coords  -60 230
at      1800


spawn   Slime_Monster
map     2
coords  380 190
at      1800


spawn   zombi4
map     3
coords  360 210
at      1800


spawn   walker
map     3
coords  340 230
at      1800




spawn   Stone_Bat
item    Red_Orb
coords  -50 190
at      1900


spawn   Stone_Bat
2pitem    Red_Orb
coords  -70 220
at      1900


spawn   Stone_Bat
coords  -90 190
at      1900


#######################################################



wait
at      2000


group   6 6
at      2000


spawn	zombi4
map     1
coords	350 170
at	2000



spawn	walker
map     2
coords	390 210
at	2000

spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000

spawn	zombi4
map     1
coords	350 170
at	2000



spawn	walker
map     2
coords	390 210
at	2000

spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000

spawn	zombi4
map     1
coords	350 170
at	2000



spawn	walker
map     2
coords	390 210
at	2000

spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000

spawn	zombi4
map     1
coords	350 170
at	2000



spawn	walker
map     2
coords	390 210
at	2000

spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000

spawn	zombi4
map     1
coords	350 170
at	2000



spawn	walker
map     2
coords	390 210
at	2000

spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	-30 170
at	1230


spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000

############################################################################

wait
at 2200


group   5 5
at      2200

spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000

spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000

spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000

spawn	Corpse_Eater
2pspawn   1
coords	350 240
at	1230

spawn	Corpse_Eater
2pspawn   1
coords	350 170
at	1230


spawn	zombi4
2pspawn   1
coords	390 210
at	2000


spawn	Bellyache
boss     1
coords	380 210
at	2200

spawn	Bellyache
coords	380 210
at	2200

spawn	Bellyache
coords	380 210
at	2200












