music		Data/music/st2.bor
spawn	Hound_Zombi
coords	350 190
at	850


spawn	Body_Eater
coords	350 210
at	850


spawn	Body_Eater
coords	350 230
at	850


spawn	Body_Eater
2pspawn   1
coords	-30 240
at	850

spawn	Body_Eater
2pspawn   1
coords	-30 170
at	850


#-------3



wait
at      1100


group   4 4
at      1100


spawn	Body_Eater
coords	350 170
at	1100


spawn	Hound_Zombi
coords	370 190
at	1100




spawn	Body_Eater
coords	350 170
at	1100


spawn	Walker
coords	390 210
at	1100





#-------4



spawn   Chair
item    Red_Orb
coords  -50 170
at      1190


spawn   Chair
2pitem    Red_Orb
coords  -70 220
at      1190


spawn   Chair
item    Magik_Book_Green
coords  -90 170
at      1190






wait
at      1300


group   4 4
at      1300


spawn	New_Born_Dead
coords	-60 190 
at	1300


spawn	New_Born_Dead
coords	-50 210
at	1300






spawn	Hound_Zombi
2pspawn   1
coords	400 190
at	1300



spawn	Hound_Zombi
2pspawn   1
coords	370 210
at	1300




wait
at      1450


spawn	New_Born_Dead
coords	350 190
at	1450


spawn	New_Born_Dead
coords	350 210
at	1450



spawn	Hound_Zombi
coords	350 230
at	1450


spawn	Hound_Zombi
coords	-30 190
at	1450



spawn	New_Born_Dead
2pspawn   1
coords	390 210
at	1450



spawn	New_Born_Dead
2pspawn   1
coords	410 210
at	1450



#-------5


wait
at      1600


group   4 4
at      1600

spawn   Large-headed_Demon
coords  -20 190
at      1600


spawn   Large-headed_Demon
coords  -40 210
at      1600


spawn   New_Born_Dead
coords  -60 230
at      1600


spawn   New_Born_Dead
coords  380 190
at      1600


spawn   Hanging_Corpse
2pspawn   1
coords  360 210
at      1600


spawn   Hanging_Corpse
2pspawn   1
coords  340 230
at      1600


wait
at      1800


group   4 4
at      1800


spawn   Hanging_Corpse
coords  -20 190
at      1800


spawn   Hanging_Corpse
coords  -40 210
at      1800


spawn   Maiden_Specter
coords  -60 230
at      1800


spawn   Maiden_Specter
coords  380 190
at      1800






spawn   skeleton
item    Red_Orb
coords  -50 190
at      1900


spawn   skeleton
2pitem    Red_Orb
coords  -70 220
at      1900


spawn   skeleton
item    Magik_Book_Red
coords  -90 190
at      1900






wait
at      2000


group   4 4
at      2000


spawn	Maiden_Specter
coords	350 170
at	2000


spawn	Maiden_Specter
coords	370 190
at	2000


spawn	Maiden_Specter
coords	390 210
at	2000


spawn	Maiden_Specter
coords	410 210
at	2000


spawn	Walker
2pspawn   1
coords	350 170
at	2000


spawn	Walker
2pspawn   1
coords	390 210
at	2000


group   4 4
at      2200


spawn	Unholy_Cross
boss    1
coords	-50 190
at	2200


spawn	Maiden_Specter
coords	350 210
at	2200



spawn	Maiden_Specter
coords	430 190
at	2200


spawn	Maiden_Specter
coords	350 210
at	2200


spawn	Maiden_Specter
coords	350 210
at	2200



spawn	Hanging_Corpse
coords	430 190
at	2200


spawn	Hanging_Corpse
coords	350 210
at	2200



spawn	Hound_Zombi
2pspawn   1
coords	-30 240
at	2200

spawn	Hound_Zombi
2pspawn   1
coords	-60 170
at	2200






