music		Data/music/st6.bor
coords	400 200
at	300


spawn	Hound_Zombi
coords	430 220
at	300


spawn	Hanging_Corpse
2pspawn   1
coords	350 190
at	300


spawn	Hanging_Corpse
2pspawn   1
coords	350 220
at	300



#-------2


spawn   Spectre
flip    1
item    Blue_Orb
coords  -50 170
at      400


spawn   stat
2pitem    Blue_Orb
coords  -70 220
at      400


spawn   Mummy
flip    1
item    Magik_Book_Blue
coords  -90 170
at      400





wait
at      600


group   4 4
at      600


spawn	Phantom
coords	-30 240
at	600

spawn	Phantom
coords	-30 170
at	600



spawn	Slime_Monster
coords	350 190
at	600


spawn	Slime_Monster
coords	350 210
at	600



spawn	Ghoul
coords	350 190
at	600


spawn	Ghoul
coords	350 210
at	600



spawn	Large-headed_Demon
2pspawn   1
coords	-30 240
at	600

spawn	Large-headed_Demon
2pspawn   1
coords	-30 170
at	600



spawn   Column
flip    1
coords  -440 235
at      700


spawn   Column
flip    1
coords  -450 225
at      700




wait
at      700


group   4 4
at      700



spawn	Slime_Monster
coords	350 170
at	700


spawn	Slime_Monster
coords	350 190
at	700


spawn	Hell_Hound
coords	350 210
at	700


spawn	Hell_Hound
coords	350 230
at	700


spawn	Embrio_Creature
2pspawn   1
coords	-30 240
at	700

spawn	Embrio_Creature
2pspawn   1
coords	-30 170
at	700




spawn   rain
flip    1
coords  -320 100
at      800



spawn   rain
flip    1
coords  -320 244
at      800





wait
at      850


group   4 4
at      850


spawn	Dead_Ripper
map      1
coords	350 170
at	850


spawn	Dead_Ripper
map      1
coords	350 190
at	850


spawn	Headache
coords	350 210
at	850


spawn	Headache
coords	350 230
at	850


spawn	Hell_Hound
2pspawn   1
coords	-30 240
at	850

spawn	Hell_Hound
2pspawn   1
coords	-30 170
at	850


#-------3



wait
at      1100


group   4 4
at      1100


spawn	Rotten_Zombie
map     1
coords	350 170
at	1100


spawn	Rotten_Zombie
map     1
coords	370 190
at	1100




spawn	Ghoul
map     1
coords	350 170
at	1100


spawn	Ghoul
map     1
coords	390 210
at	1100



spawn	Hanging_Corpse
coords	350 170
at	1100



spawn	Hanging_Corpse
coords	430 190
at	1100



spawn	New_Born_Dead
coords	350 240
at	1100

spawn	New_Born_Dead
coords	350 170
at	1100



spawn	New_Born_Dead
2pspawn   1
coords	350 170
at	1100


spawn	New_Born_Dead
2pspawn   1
coords	350 230
at	1100



#-------4



spawn   Unreal
item    Red_Orb
coords  -50 170
at      1250


spawn   stat
2pitem    Red_Orb
coords  -70 220
at      1250


spawn   Spectre
item    Magik_Book_Green
coords  -90 170
at      1250






wait
at      1550


group   4 4
at      1550


spawn	Screaming_Mimi
map      2
coords	-60 190 
at	1550


spawn	Screaming_Mimi
map      2
coords	-50 210
at	1550



spawn	Bellyache
map      1
coords	-20 230
at	1550


spawn	Bellyache
map      1
coords	-30 190
at	1550


spawn	Large-headed_Demon
2pspawn   1
coords	400 190
at	1550



spawn	Large-headed_Demon
2pspawn   1
coords	370 210
at	1550



spawn   sign
flip    1
coords  -400 150
at      1550



wait
at      1650


spawn	Master_of_the_Deads
coords	350 190
at	1650


spawn	Master_of_the_Deads
coords	350 210
at	1650



spawn	Slime_Monster
coords	350 230
at	1650


spawn	Slime_Monster
coords	-30 190
at	1650



spawn	Embryo
2pspawn   1
coords	390 210
at	1650



spawn	Embryo
2pspawn   1
coords	410 210
at	1650








#-------5


wait
at      1700


group   4 4
at      1700

spawn   Maiden_Specter
coords  -20 190
at      1700


spawn   Maiden_Specter
coords  -40 210
at      1700


spawn   New_Born_Dead
coords  -60 230
at      1700


spawn   New_Born_Dead
coords  380 190
at      1700


spawn   Undress
2pspawn   1
coords  360 210
at      1700


spawn   Undress
2pspawn   1
coords  340 230
at      1700


wait
at      1800


group   4 4
at      1800


spawn   Walker
coords  -20 190
at      1800


spawn   Walker
coords  -40 210
at      1800


spawn   Hanging_Corpse
coords  -60 230
at      1800


spawn   Hanging_Corpse
coords  380 190
at      1800


spawn   Slime_Monster
map     3
coords  360 210
at      1800


spawn   Slime_Monster
map     3
coords  340 230
at      1800




spawn   Unreal
item    Red_Orb
coords  -50 190
at      1890


spawn   Unreal
2pitem    Red_Orb
coords  -70 220
at      1890


spawn   Spectre
item    1up
coords  -90 190
at      1890



spawn   Storm
flip    1
coords  -300 244
at      2000



wait
at      2000


group   4 4
at      2000


spawn	Boreworm
map     2
coords	350 170
at	2000


spawn	Screaming_Mimi
map     3
coords	370 190
at	2000


spawn	Dead_Ripper
coords	390 210
at	2000


spawn	Dead_Ripper
map     1
coords	410 210
at	2000


spawn	Rotten_Zombie
2pspawn   1
coords	350 170
at	2000


spawn	Rotten_Zombie
2pspawn   1
coords	390 210
at	2000


group   4 4
at      2200


spawn	Wall_Face
boss    1
coords	-450 190
at	2200


spawn	Phantom
coords	350 210
at	2200



spawn	Phantom
coords	430 190
at	2200


spawn	Hell_Hound
map     1
coords	350 210
at	2200


spawn	Headache
map     1
coords	350 210
at	2200




spawn	Phantom
coords	350 210
at	2200



spawn	Phantom
coords	430 190
at	2200



spawn	Rotten_Zombie
2pspawn   1
coords	-30 240
at	2200

spawn	Rotten_Zombie
2pspawn   1
coords	-60 170
at	2200




